date,pm25,pm10,no2
2016/3/15,,18,17
2016/3/16,,34,22
2016/3/17,,60,10
2016/3/18,,32,7
2016/3/19,,31,8
2016/3/20,,31,7
2016/3/21,,20,8
2016/3/22,,20,6
2016/3/23,,19,4
2016/3/24,,14,9
2016/3/25,,28,4
2016/3/26,,10,8
2016/3/27,,17,8
2016/3/28,,21,11
2016/3/29,,15,17
2016/3/30,,21,16
2016/3/31,,24,10
2015/10/1,,15,13
2015/10/2,,16,6
2015/10/3,,15,8
2015/10/4,,16,10
2015/10/5,,9,14
2015/10/6,,27,17
2015/10/7,,16,9
2015/10/8,,5,9
2015/10/9,,17,11
2015/10/10,,40,5
2015/10/11,,26,13
2015/10/12,,28,16
2015/10/13,,37,11
2015/10/14,,14,14
2015/10/15,,11,9
2015/10/16,,10,10
2015/10/17,,11,12
2015/10/18,,20,8
2015/10/19,,12,8
2015/10/20,,18,9
2015/10/21,,16,9
